month,size,DO_income
1,40190,87613.18651843761
2,48995,85306.37100319519
3,14788,89506.7861929855
4,252,73867.74589293577
5,1020,68697.98777962202
6,1611,67198.07064062064
7,2147,70719.91604462323
8,3235,72616.12861603583
9,2763,89506.7861929855
10,4151,89506.7861929855
11,3004,91681.98496504723
12,1651,91681.98496504723
