month,size,DO_income
1,40190,88916.19471252532
2,48995,86904.32402903892
3,14788,89506.7861929855
4,252,73887.04593354084
5,1020,70719.91604462323
6,1611,68769.86365435817
7,2147,72103.43840664653
8,3235,76120.44217808911
9,2763,89506.7861929855
10,4151,90024.10851622856
11,3004,91681.98496504723
12,1651,91681.98496504723
